family,scenario,mode,algo,model,source_log,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_len,mean_route_distance,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_semantic_cost,llm_raw_used_rate,llm_overridden_rate,constraint_success_rate,safe_success_rate
lmstudio,long_horizon,lmstudio,ppo,lfm-2.5-8b-1b-hermes-ft,<WORKSPACE>/paper_assets/paper_a/rerun_logs/lfm25_hermes_20260601_152845/lmstudio_long_horizon_ppo_lfm-2.5-8b-1b-hermes-ft_100ep.log,100,0.640,0.000,0.360,0.000,0.000,1.000,1.000,2048.547,509.940,506.938,509.500,3.160,14.797,16.634,1.520,72.940,6.960,8.190,17.049,0.930,0.188,22.903,0.000,0.000,0.000,0.420,0.580,0.000,0.000
lmstudio,long_horizon,lmstudio,ppo,nvidia_nemotron-3-nano-4b,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/lmstudio_long_horizon_ppo_nvidia_nemotron-3-nano-4b_100ep.log,100.0,0.64,0.0,0.36,0.0,0.09,0.9,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.86,0.05,0.0,0.0
lmstudio,long_horizon,lmstudio,sac,lfm-2.5-8b-1b-hermes-ft,<WORKSPACE>/paper_assets/paper_a/rerun_logs/lfm25_hermes_20260601_152845/lmstudio_long_horizon_sac_lfm-2.5-8b-1b-hermes-ft_100ep.log,100,0.400,0.000,0.600,0.000,0.000,1.000,1.000,1238.973,467.810,499.025,488.000,6.002,11.726,15.713,1.130,34.420,5.320,8.190,17.049,0.930,0.188,22.903,0.000,0.000,0.000,0.420,0.580,0.000,0.000
lmstudio,long_horizon,lmstudio,sac,nvidia_nemotron-3-nano-4b,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/lmstudio_long_horizon_sac_nvidia_nemotron-3-nano-4b_100ep.log,100.0,0.4,0.0,0.6,0.0,0.09,0.91,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.85,0.06,0.0,0.0
lmstudio,semantic_constraint,lmstudio,ppo,lfm-2.5-8b-1b-hermes-ft,<WORKSPACE>/paper_assets/paper_a/rerun_logs/lfm25_hermes_20260601_152845/lmstudio_semantic_constraint_ppo_lfm-2.5-8b-1b-hermes-ft_100ep.log,100,0.590,0.000,0.410,0.000,0.000,1.000,1.000,1580.306,451.740,468.424,452.000,3.689,12.712,15.421,1.640,74.510,6.240,7.760,15.894,0.960,0.151,23.572,0.436,0.056,0.056,0.110,0.890,1.000,0.590
lmstudio,semantic_constraint,lmstudio,ppo,nvidia_nemotron-3-nano-4b,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/lmstudio_semantic_constraint_ppo_nvidia_nemotron-3-nano-4b_100ep.log,100.0,0.59,0.0,0.41,0.0,0.21,0.78,1.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.61,0.18,1.0,0.59
lmstudio,semantic_constraint,lmstudio,sac,lfm-2.5-8b-1b-hermes-ft,<WORKSPACE>/paper_assets/paper_a/rerun_logs/lfm25_hermes_20260601_152845/lmstudio_semantic_constraint_sac_lfm-2.5-8b-1b-hermes-ft_100ep.log,100,0.470,0.000,0.530,0.000,0.000,1.000,1.000,1491.453,401.190,463.745,438.000,5.403,10.679,14.667,1.230,23.460,5.310,7.760,15.894,0.960,0.151,23.572,0.436,0.055,0.055,0.110,0.890,1.000,0.470
lmstudio,semantic_constraint,lmstudio,sac,nvidia_nemotron-3-nano-4b,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/lmstudio_semantic_constraint_sac_nvidia_nemotron-3-nano-4b_100ep.log,100.0,0.47,0.0,0.53,0.0,0.29,0.71,1.0,1491.453,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,7.76,15.894,0.96,0.151,23.572,0.436,0.055,0.055,0.56,0.15,1.0,0.47
ablation,long_horizon,no_clearance_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_no_clearance_term_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2044.717,509.98,507.0,509.5,3.159,14.803,16.642,1.52,72.34,6.94,8.17,17.037,0.93,0.192,21.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,shortest_only,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_shortest_only_100ep.log,100.0,0.61,0.0,0.39,0.0,0.0,0.0,0.0,2000.375,497.04,502.738,506.0,3.357,14.419,16.496,1.48,71.38,7.0,8.4,16.914,1.06,0.197,16.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_semantic_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_no_semantic_term_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_turn_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_no_turn_term_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2136.956,501.04,503.359,509.5,3.159,14.68,16.52,1.48,66.92,6.9,8.19,16.944,1.06,0.187,21.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,full,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_ppo_full_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_ppo_FacebookAI__roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_ppo_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.64,0.0,0.36,0.0,0.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.42,0.58,0.0,0.0
hf,long_horizon,hf,ppo,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_ppo_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.64,0.0,0.36,0.0,0.07,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.08,0.85,0.0,0.0
hf,long_horizon,hf,ppo,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_albert__albert-base-v2_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_distilbert__distilbert-base-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google-bert__bert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google-bert__bert-base-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,google__mobilebert-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_google__mobilebert-uncased_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,huawei-noah__TinyBERT_General_4L_312D,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_huawei-noah__TinyBERT_General_4L_312D_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,openai-community__gpt2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_openai-community__gpt2_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,ppo,openai-community__gpt2-medium,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_ppo_openai-community__gpt2-medium_100ep.log,100.0,0.64,0.0,0.36,0.0,1.0,0.0,1.0,2048.547,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_clearance_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_clearance_term_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1228.615,466.85,499.025,488.0,6.05,11.695,15.713,1.11,34.36,5.3,8.17,17.037,0.93,0.192,21.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,shortest_only,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_shortest_only_100ep.log,100.0,0.41,0.0,0.59,0.0,0.0,0.0,0.0,1144.064,469.91,497.585,486.0,6.054,11.572,15.584,1.15,33.13,5.49,8.4,16.914,1.06,0.197,16.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_turn_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_turn_term_100ep.log,100.0,0.42,0.0,0.58,0.0,0.0,0.0,0.0,1198.296,471.16,498.762,491.5,5.94,11.676,15.628,1.05,33.8,5.32,8.19,16.944,1.06,0.187,21.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,no_semantic_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_semantic_term_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,full,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_full_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_FacebookAI__roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_sac_FacebookAI__roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.42,0.58,0.0,0.0
hf,long_horizon,hf,sac,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.4,0.0,0.6,0.0,0.07,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.08,0.85,0.0,0.0
hf,long_horizon,hf,sac,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_albert__albert-base-v2_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_distilbert__distilbert-base-uncased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
