scenario,mode,algo,llm_model,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_route_len,mean_route_distance,mean_semantic_cost,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,constraint_success_rate,safe_success_rate,llm_raw_used_rate,llm_overridden_rate,repair_invalid_route,cases,model_file,log_file,method,scenario_label,method_family
long_horizon,classical_waypoint,ppo,,100,0.81,0.0,0.19,0.0,0.0,0.0,0.0,3412.096,10.03,18.622,0.0,0.0,0.0,544.36,526.457,506.0,2.123,17.248,17.29,1.12,31.93,9.11,1.65,0.195,26.471,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_classical_waypoint_ppo_100ep.log,Classical waypoint (PPO),Long-horizon,Classical waypoint
long_horizon,classical_waypoint,sac,,100,0.53,0.0,0.47,0.0,0.0,0.0,0.0,1626.345,10.03,18.622,0.0,0.0,0.0,516.91,500.509,486.0,5.375,13.22,15.722,0.96,46.09,6.83,1.65,0.195,26.471,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_classical_waypoint_sac_100ep.log,Classical waypoint (SAC),Long-horizon,Classical waypoint
long_horizon,direct,ppo,,100,0.43,0.0,0.57,0.0,0.0,0.0,0.0,1869.358,0.0,0.0,0.0,0.0,0.0,413.51,446.837,437.0,4.852,11.894,14.724,1.18,61.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_direct_ppo_100ep.log,Direct RL (PPO),Long-horizon,Direct RL
long_horizon,direct,sac,,100,0.32,0.0,0.68,0.0,0.0,0.0,0.0,921.531,0.0,0.0,0.0,0.0,0.0,383.12,468.531,422.0,7.533,8.39,13.861,0.82,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_direct_sac_100ep.log,Direct RL (SAC),Long-horizon,Direct RL
long_horizon,fast_safe_route,ppo,,100,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_fast_safe_route_ppo_100ep.log,Fast-safe route (PPO),Long-horizon,Fast-safe route
long_horizon,fast_safe_route,sac,,100,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_fast_safe_route_sac_100ep.log,Fast-safe route (SAC),Long-horizon,Fast-safe route
long_horizon,llm_route,ppo,google/gemma-3-1b,100,0.64,0.0,0.36,0.0,0.0,1.0,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.42,0.58,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_google_gemma-3-1b_100ep.log,"LLM route (PPO, gemma-3-1b)",Long-horizon,LLM route
long_horizon,llm_route,ppo,liquid/lfm2.5-1.2b,100,0.64,0.0,0.36,0.0,0.0,1.0,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.05,0.95,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_liquid_lfm2.5-1.2b_100ep.log,"LLM route (PPO, lfm2.5-1.2b)",Long-horizon,LLM route
long_horizon,llm_route,ppo,qwen/qwen3-1.7b,100,0.64,0.0,0.36,0.0,0.92,0.06,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.07,0.01,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_qwen_qwen3-1.7b_100ep.log,"LLM route (PPO, qwen3-1.7b)",Long-horizon,LLM route
long_horizon,llm_route,sac,google/gemma-3-1b,100,0.4,0.0,0.6,0.0,0.0,1.0,1.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.42,0.58,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_sac_google_gemma-3-1b_100ep.log,"LLM route (SAC, gemma-3-1b)",Long-horizon,LLM route
long_horizon,llm_route,sac,liquid/lfm2.5-1.2b,100,0.4,0.0,0.6,0.0,0.0,1.0,1.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.05,0.95,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_sac_liquid_lfm2.5-1.2b_100ep.log,"LLM route (SAC, lfm2.5-1.2b)",Long-horizon,LLM route
long_horizon,llm_route,sac,qwen/qwen3-1.7b,100,0.4,0.0,0.6,0.0,0.96,0.03,1.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.03,0.01,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_sac_qwen_qwen3-1.7b_100ep.log,"LLM route (SAC, qwen3-1.7b)",Long-horizon,LLM route
long_horizon,random_waypoint,ppo,,100,0.76,0.0,0.24,0.0,0.0,0.0,0.0,4481.851,13.01,23.813,0.0,0.0,0.0,662.41,630.75,615.0,2.657,21.274,20.706,2.61,30.03,11.69,2.62,0.175,34.31,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_random_waypoint_ppo_100ep.log,Random waypoint (PPO),Long-horizon,Random waypoint
semantic_constraint,classical_waypoint,ppo,,100,0.89,0.0,0.11,0.0,0.0,0.0,0.0,3329.638,9.18,16.933,0.162,1.616,0.162,497.47,493.326,483.0,1.602,16.012,16.193,1.1,23.02,8.58,1.7,0.201,32.69,1.0,0.89,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_classical_waypoint_ppo_100ep.log,Classical waypoint (PPO),Semantic constraint,Classical waypoint
semantic_constraint,classical_waypoint,sac,,100,0.59,0.0,0.41,0.0,0.0,0.0,0.0,1649.75,9.18,16.933,0.131,1.616,0.131,440.97,452.644,426.0,4.928,11.766,14.057,0.72,48.51,6.24,1.7,0.201,32.69,1.0,0.59,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_classical_waypoint_sac_100ep.log,Classical waypoint (SAC),Semantic constraint,Classical waypoint
semantic_constraint,direct,ppo,,100,0.42,0.0,0.58,0.0,0.0,0.0,0.0,1266.715,0.0,0.0,0.084,0.0,0.084,363.75,394.095,367.5,4.872,10.02,12.579,1.12,69.98,0.0,0.0,0.0,0.0,1.0,0.42,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_direct_ppo_100ep.log,Direct RL (PPO),Semantic constraint,Direct RL
semantic_constraint,direct,sac,,100,0.37,0.0,0.63,0.0,0.0,0.0,0.0,1065.766,0.0,0.0,0.08,0.0,0.08,377.7,408.162,360.0,5.994,8.243,12.13,0.78,18.52,0.0,0.0,0.0,0.0,1.0,0.37,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_direct_sac_100ep.log,Direct RL (SAC),Semantic constraint,Direct RL
semantic_constraint,fast_safe_route,ppo,,100,0.59,0.0,0.41,0.0,0.0,0.0,0.0,1580.306,7.76,15.894,0.056,0.436,0.056,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,0.96,0.151,23.572,1.0,0.59,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_fast_safe_route_ppo_100ep.log,Fast-safe route (PPO),Semantic constraint,Fast-safe route
semantic_constraint,fast_safe_route,sac,,100,0.47,0.0,0.53,0.0,0.0,0.0,0.0,1491.453,7.76,15.894,0.055,0.436,0.055,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,0.96,0.151,23.572,1.0,0.47,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_fast_safe_route_sac_100ep.log,Fast-safe route (SAC),Semantic constraint,Fast-safe route
semantic_constraint,llm_route,ppo,google/gemma-3-1b,100,0.59,0.0,0.41,0.0,0.0,1.0,1.0,1580.306,7.76,15.894,0.056,0.436,0.056,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,0.96,0.151,23.572,1.0,0.59,0.11,0.89,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_ppo_google_gemma-3-1b_100ep.log,"LLM route (PPO, gemma-3-1b)",Semantic constraint,LLM route
semantic_constraint,llm_route,ppo,liquid/lfm2.5-1.2b,100,0.59,0.0,0.41,0.0,0.0,1.0,1.0,1580.306,7.76,15.894,0.056,0.436,0.056,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,0.96,0.151,23.572,1.0,0.59,0.27,0.73,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_ppo_liquid_lfm2.5-1.2b_100ep.log,"LLM route (PPO, lfm2.5-1.2b)",Semantic constraint,LLM route
semantic_constraint,llm_route,ppo,qwen/qwen3-1.7b,100,0.59,0.0,0.41,0.0,0.93,0.06,1.0,1580.306,7.76,15.894,0.056,0.436,0.056,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,0.96,0.151,23.572,1.0,0.59,0.04,0.03,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_ppo_qwen_qwen3-1.7b_100ep.log,"LLM route (PPO, qwen3-1.7b)",Semantic constraint,LLM route
semantic_constraint,llm_route,sac,google/gemma-3-1b,100,0.47,0.0,0.53,0.0,0.0,1.0,1.0,1491.453,7.76,15.894,0.055,0.436,0.055,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,0.96,0.151,23.572,1.0,0.47,0.11,0.89,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_sac_google_gemma-3-1b_100ep.log,"LLM route (SAC, gemma-3-1b)",Semantic constraint,LLM route
semantic_constraint,llm_route,sac,liquid/lfm2.5-1.2b,100,0.47,0.0,0.53,0.0,0.0,1.0,1.0,1491.453,7.76,15.894,0.055,0.436,0.055,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,0.96,0.151,23.572,1.0,0.47,0.27,0.73,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_sac_liquid_lfm2.5-1.2b_100ep.log,"LLM route (SAC, lfm2.5-1.2b)",Semantic constraint,LLM route
semantic_constraint,llm_route,sac,qwen/qwen3-1.7b,100,0.47,0.0,0.53,0.0,0.94,0.06,1.0,1491.453,7.76,15.894,0.055,0.436,0.055,401.19,463.745,438.0,5.403,10.679,14.667,1.23,23.46,5.31,0.96,0.151,23.572,1.0,0.47,0.04,0.02,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_llm_route_repair_sac_qwen_qwen3-1.7b_100ep.log,"LLM route (SAC, qwen3-1.7b)",Semantic constraint,LLM route
semantic_constraint,random_waypoint,ppo,,100,0.69,0.0,0.3,0.01,0.0,0.0,0.0,3836.647,12.49,22.955,0.056,0.677,0.056,623.44,606.652,581.0,3.005,19.784,19.916,2.76,36.6,10.73,2.82,0.189,37.11,1.0,0.69,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_random_waypoint_ppo_100ep.log,Random waypoint (PPO),Semantic constraint,Random waypoint
semantic_constraint,rule_semantic,ppo,,100,0.61,0.0,0.39,0.0,0.0,0.0,0.0,2959.98,10.52,19.823,0.012,0.122,0.012,525.88,556.262,536.0,3.66,16.188,18.251,2.23,47.51,8.65,1.94,0.169,28.788,1.0,0.61,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_rule_semantic_ppo_100ep.log,Rule semantic (PPO),Semantic constraint,Rule semantic
semantic_constraint,rule_semantic,sac,,100,0.42,0.0,0.58,0.0,0.0,0.0,0.0,1816.799,10.52,19.823,0.011,0.122,0.011,493.49,540.333,525.5,5.785,13.077,16.756,1.51,30.15,6.9,1.94,0.169,28.788,1.0,0.42,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_semantic_constraint_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/semantic_constraint_rule_semantic_sac_100ep.log,Rule semantic (SAC),Semantic constraint,Rule semantic
